,Encoder-only,Autoregressive,Seq2Seq
12R,0.6278927698720713,0.5756791720569211,0.49414259019692397
13R,0.6327296248382923,0.5453212591634325,0.4749460974557999
14R,0.6398351779981792,0.5453500071870059,0.4732882947630684
15R,0.6476929711082363,0.5450625269512721,0.47369555843035793
