Model,Accuracy,Precision,Recall,F1-Score,ROC-AUC,TN,FP,FN,TP
Logistic Regression,0.5725112658746415,0.0028763183125599234,0.46153846153846156,0.005717008099094807,0.4892332969966981,2789,2080,7,6
Random Forest,0.9952888160589922,0.0,0.0,0.0,0.41681280313442975,4859,10,13,0
XGBoost,0.9950839819746006,0.0,0.0,0.0,0.37071267200657215,4858,11,13,0
MLP,0.9973371569029087,0.0,0.0,0.0,0.3373461617454224,4869,0,13,0
